displayID,setting,figure,display type,location1,location2,location3,location4,lcoation5,location6,location7,location8,location9,location10,Prime,target1,target2,competitor1,competitor2,condition,determiner,size,ExpFiller,correctAns1,correctAns2,list,target object3,target figure3,object3,instruction3
1,fruit,Susan's,33-33,2 pears,3 bananas,2 apples,3 oranges,1 apple,1 pear,boy,boy,girl,girl,BoyTwoSusanPears,1,7,2,8,num,two,small,Exp,AOI1,AOI7,3,2 pears,boy,pears,Click on the boy that has two of Susan's pears
2,fruit,Susan's,33-33,3 apples,2 oranges,2 bananas,3 pears,1 banana,1 orange,boy,boy,girl,girl,BoyThreeSusanApples,1,7,2,8,num,three,big,Exp,AOI1,AOI7,3,3 apples,boy,apples,Click on the boy that has three of Susan's apples
3,fruit,Susan's,33-33,2 apples,3 pears,2 bananas,3 oranges,1 apple,1 banana,boy,boy,girl,girl,BoySomeSusanApples,1,7,2,8,some,some,small,Exp,AOI1,AOI7,3,2 apples,boy,apples,Click on the boy that has some of Susan's apples
4,fruit,Susan's,33-33,2 pears,3 apples,3 bananas,2 oranges,1 orange,1 pear,boy,boy,girl,girl,GirlSomeSusanOranges,4,10,3,9,some,some,small,Exp,AOI4,AOI10,3,2 oranges,girl,oranges,Click on the girl that has some of Susan's oranges
5,fruit,Susan's,33-33,2 pears,3 apples,3 oranges,2 bananas,1 banana,1 pear,boy,boy,girl,girl,GirlAllSusanOranges,3,9,4,10,all,all,big,Exp,AOI3,AOI9,3,3 oranges,girl,oranges,Click on the girl that has all of Susan's oranges
