displayID,ExpFiller,setting,figure,Intro object,Res object,object1,object2,object3,object4,display type,location1,location2,location3,location4,lcoation5,location6,location7,location8,location9,location10,condition1,size1,target1,competitor1,target object1,target figure1,determiner1,object1,instruction1,prime,correctAns1,correctAns2,,,,,,,,,,,,,,,,,
1,Prac,fruit,Susan,Fruit_Susan_Monday,Fruit residue,D3 apples,D3 pears,D3 bananas,D3 oranges,33-33,2 apples,3 bananas,2 pears,3 oranges,1 apple,1 pear,boy,boy,girl,girl,some,small,1,2,2 apples,boy,some,apples,Click on the boy that has some of Susan's apples,BoySomeSusanapples,AOI1,AOI7,,,,,,,,,,,,,,,,,
2,Prac,fruit,Susan,Fruit_Susan_Tuesday,Slience,D4 apples,D2 pears,D4 bananas,D2 oranges,44-22,3 bananas,2 pears,3 apples,2 oranges,1 apple,1 banana,boy,boy,girl,girl,all,small,2,1,2 pears,boy,all,pears,Click on the boy that has all of Susan's pears,BoyAllSusanpears,AOI2,AOI8,,,,,,,,,,,,,,,,,
6,Prac,kitchenwares,Amy,kitchware_Amy_Monday,Residue_kitchen,D2 plates,D4 forks,D2 spoons,D4 knives,44-22,2 spoons,3 forks,3 knives,2 plates,1 fork,1 knife,boy,boy,girl,girl,some,big,3,4,3 knives,girl,some,knives,Click on the boy that has some of Amy's knives,GirlSomeAmyknives,AOI3,AOI9,,,,,,,,,,,,,,,,,
5,Prac,kitchenwares,Amy,kitchware_Amy_Tuesday,Slience,D3 plates,D3 forks,D3 spoons,D3 knives,33-33,3 spoons,2 knives,3 plates,2 forks,1 fork,1 knife,boy,boy,girl,girl,num,big,1,2,3 spoons,boy,three,spoons,Click on the boy that has three of Amy's spoons,BoyThreeAmyspoons,AOI1,AOI7,,,,,,,,,,,,,,,,,
3,Prac,stationeries,Michael,Stationary_Michael_Monday,Residue_stationary,D3 scissors,D3 pencils,D3 erasers,D3 rulers,33-33,3 scissors,2 pencils,3 erasers,2 rulers,1 pencil,1 ruler,boy,boy,girl,girl,all,big,3,4,3 erasers,girl,all,erasers,Click on the girl that has all of Michael's erasers,GirlAllMichaelerasers,AOI3,AOI9,,,,,,,,,,,,,,,,,
4,Prac,stationeries,Michael,Stationary_Michael_Tuesday,Residue_stationary,D2 scissors,D4 pencils,D4 erasers,D2 rulers,44-22,3 pencils,2 scissors,3 erasers,2 rulers,1 pencil,1 eraser,boy,boy,girl,girl,num,small,4,3,2 rulers,girl,two,rulers,Click on the girl that has two of Michael's rulers,GirlTwoMichaelrulers,AOI4,AOI10,,,,,,,,,,,,,,,,,
